Person Name,Person ID,Modification Type,Year,Citation
Alfonso II of Ferrara/d'Este/,10307,Added Month of Death,1597,"https://en.wikipedia.org/wiki/Alfonso_II_d%27Este,_Duke_of_Ferrara"
Son of Ferrara/d'Este/,10308,Added Birth Date,1527,https://www.geni.com/people/Alfonso-d-Este-marchese-di-Montecchio/6000000009504533644
Son of Ferrara/d'Este/,10308,Added Death Date,1587,https://www.geni.com/people/Alfonso-d-Este-marchese-di-Montecchio/6000000009504533644
Cesare of Modena/d'Este/,10309,Added Birth Date,1562,"https://en.wikipedia.org/wiki/Cesare_d%27Este,_Duke_of_Modena"
Cesare of Modena/d'Este/,10309,Added Month of Death,1628,"https://en.wikipedia.org/wiki/Cesare_d%27Este,_Duke_of_Modena"
 Alfonso III of Modena/d'Este/,10310,Added Birth Date,1591,"https://en.wikipedia.org/wiki/Alfonso_III_d%27Este,_Duke_of_Modena"
 Alfonso III of Modena/d'Este/,10310,Added Month of Death,1644,"https://en.wikipedia.org/wiki/Alfonso_III_d%27Este,_Duke_of_Modena"
Francis I of Modena/d'Este/,10311,Added Birth Date,1610,"https://en.wikipedia.org/wiki/Francesco_I_d%27Este,_Duke_of_Modena"
Francis I of Modena/d'Este/,10311,Added Month of Death,1658,"https://en.wikipedia.org/wiki/Francesco_I_d%27Este,_Duke_of_Modena"
Francis II of Modena/d'Este/,10313,Added Birth Date,1660,"https://en.wikipedia.org/wiki/Francesco_II_d%27Este,_Duke_of_Modena"
Ercole III of Modena/d'Este/,10316,Added Birth Date,1727,"https://en.wikipedia.org/wiki/Ercole_III_d%27Este,_Duke_of_Modena"
Ercole III of Modena/d'Este/,10316,Added Month of Death,1803,"https://en.wikipedia.org/wiki/Ercole_III_d%27Este,_Duke_of_Modena"
Charles VII Albert of Bavaria,10378,Added Birth Date,1697,https://www.britannica.com/biography/Charles-VII-Holy-Roman-emperor
Pedro of Coimbra,10449,Corrected Death Date,1449,"https://en.wikipedia.org/wiki/Peter,_Duke_of_Coimbra"
Charles III the Great/de Lorraine/,11658,Added Birth Date,1543,https://www.britannica.com/biography/Charles-II-duke-of-Lorraine-1543-1608
Henry II /de Lorraine/,11659,Added Birth Date,1563,"https://en.wikipedia.org/wiki/Henry_II,_Duke_of_Lorraine"
Henry II /de Lorraine/,11659,Added Month of Death,1624,"https://en.wikipedia.org/wiki/Henry_II,_Duke_of_Lorraine"
Nicola  /de Lorraine/,11660,Added Birth Date,1608,https://www.encyclopedia.com/women/encyclopedias-almanacs-transcripts-and-maps/nicole-lorraine-c-1608-1657
Nicola  /de Lorraine/,11660,Added Month of Death,1657,https://www.encyclopedia.com/women/encyclopedias-almanacs-transcripts-and-maps/nicole-lorraine-c-1608-1657
Charles IV /de Lorraine/,11662,Added Birth Date,1604,"https://en.wikipedia.org/wiki/Charles_IV,_Duke_of_Lorraine"
Charles IV /de Lorraine/,11662,Added Month of Death,1675,"https://en.wikipedia.org/wiki/Charles_IV,_Duke_of_Lorraine"
Charles V /de Lorraine/,11664,Added Birth Date,1643,"https://en.wikipedia.org/wiki/Charles_V,_Duke_of_Lorraine"
Charles V /de Lorraine/,11664,Added Month of Death,1690,"https://en.wikipedia.org/wiki/Charles_V,_Duke_of_Lorraine"
William II the Younger of Brunswick,11674,Added Birth Date,1425,"https://en.wikipedia.org/wiki/William_IV,_Duke_of_Brunswick-L%C3%BCneburg"
Julius of /Brunswick/,11679,Added Birth Date,1528,"https://en.wikipedia.org/wiki/Julius,_Duke_of_Brunswick-L%C3%BCneburg"
Julius of /Brunswick/,11679,Added Month of Death,1589,"https://en.wikipedia.org/wiki/Julius,_Duke_of_Brunswick-L%C3%BCneburg"
John George of Brandenburg/Hohenzollern/,11731,Fixed Incorrect Death Date,1598,"https://en.wikipedia.org/wiki/John_George,_Elector_of_Brandenburg"
Maximilian III Joseph/Wittelsbach/,11796,Added Birth Date,1727,"https://en.wikipedia.org/wiki/Maximilian_III_Joseph,_Elector_of_Bavaria"
Maximilian III Joseph/Wittelsbach/,11796,Added Month of Death,1777,"https://en.wikipedia.org/wiki/Maximilian_III_Joseph,_Elector_of_Bavaria"
Eberhard I the Bearded of Wrttemberg,11837,Added Birth Date,1445,https://www.findagrave.com/memorial/35697571/eberhard_v_i_-von_w_rttemberg
Eberhard I the Bearded of Wrttemberg,11837,Added Month of Death,1496,https://www.findagrave.com/memorial/35697571/eberhard_v_i_-von_w_rttemberg
Eberhard VI of Wrttemberg,11838,Added Birth Date,1447,"https://en.wikipedia.org/wiki/Eberhard_II,_Duke_of_W%C3%BCrttemberg"
Eberhard VI of Wrttemberg,11838,Added Month of Death,1504,"https://en.wikipedia.org/wiki/Eberhard_II,_Duke_of_W%C3%BCrttemberg"
Ulrich of Wrttemberg,11840,Added Birth Date,1487,"https://en.wikipedia.org/wiki/Ulrich,_Duke_of_W%C3%BCrttemberg"
Ulrich of Wrttemberg,11840,Added Month of Death,1550,"https://en.wikipedia.org/wiki/Ulrich,_Duke_of_W%C3%BCrttemberg"
Christopher of Wrttemberg,11841,Added Birth Date,1515,https://www.geni.com/people/Christopher-Church/6000000002980162496
Christopher of Wrttemberg,11841,Added Month of Death,1568,https://www.geni.com/people/Christopher-Church/6000000002980162496
Louis of Wrttemberg,11842,Added Birth Date,1554,"https://en.wikipedia.org/wiki/Louis_III,_Duke_of_W%C3%BCrttemberg"
Louis of Wrttemberg,11842,Added Month of Death,1593,"https://en.wikipedia.org/wiki/Louis_III,_Duke_of_W%C3%BCrttemberg"
Frederick I of M”mpelgard,11844,Added Birth Date,1557,"https://en.wikipedia.org/wiki/Frederick_I,_Duke_of_W%C3%BCrttemberg"
Frederick I of M”mpelgard,11844,Added Month of Death,1608,"https://en.wikipedia.org/wiki/Frederick_I,_Duke_of_W%C3%BCrttemberg"
John Frederick of Wrttemberg,11845,Added Birth Date,1582,"https://en.wikipedia.org/wiki/John_Frederick,_Duke_of_W%C3%BCrttemberg"
John Frederick of Wrttemberg,11845,Added Month of Death,1628,"https://en.wikipedia.org/wiki/John_Frederick,_Duke_of_W%C3%BCrttemberg"
Gian Galeazzo /Sforza/,12237,Added Birth Date,1469,https://en.wikipedia.org/wiki/Gian_Galeazzo_Sforza
Gian Galeazzo /Sforza/,12237,Added Month of Death,1494,https://en.wikipedia.org/wiki/Gian_Galeazzo_Sforza
Sancha  /d'Aragona/,12240,Added Missing Connection,,https://en.wikipedia.org/wiki/Sancha_of_Aragon
Matthias  /Hunyady/,12321,Added Birth Date,1443,https://en.wikipedia.org/wiki/Matthias_Corvinus
Ludovico Maria /Sforza/,14860,Added Birth Date,1452,https://en.wikipedia.org/wiki/Ludovico_Sforza
Ludovico Maria /Sforza/,14860,Added Month of Death,1508,https://en.wikipedia.org/wiki/Ludovico_Sforza
Massimiliano  /Sforza/,14861,Added Birth Date,1493,https://en.wikipedia.org/wiki/Maximilian_Sforza
Massimiliano  /Sforza/,14861,Added Month of Death,1530,https://en.wikipedia.org/wiki/Maximilian_Sforza
Boris  /Gudunov/,18486,Added Birth Date,1551,https://en.wikipedia.org/wiki/Boris_Godunov
Boris  /Gudunov/,18486,Added Month of Death,1605,https://en.wikipedia.org/wiki/Boris_Godunov
Frederick  /von Nassau-Usingen/,32028,Added Birth Date,1738,"https://en.wikipedia.org/wiki/Frederick_Augustus,_Duke_of_Nassau"
Frederick  /von Nassau-Usingen/,32028,Added Death Date,1816,"https://en.wikipedia.org/wiki/Frederick_Augustus,_Duke_of_Nassau"
Lucrezia  /Borgia/,12241,Added Missing Marriage,1503,https://en.wikipedia.org/wiki/Lucrezia_Borgia
