id,year,type
1556,1673,Balance of Power
1557,1674,Balance of Power
1558,1674,Balance of Power
1559,1674,Balance of Power
1560,1674,Balance of Power
1561,1674,Balance of Power
1562,1675,Balance of Power
1563,1675,Balance of Power
1564,1675,Balance of Power
1565,1675,Balance of Power
1566,1675,Balance of Power
1567,1675,Balance of Power
1568,1675,Balance of Power
1569,1675,Balance of Power
1570,1675,Balance of Power
1571,1675,Balance of Power
1572,1676,Balance of Power
1573,1676,Balance of Power
1574,1676,Balance of Power
1575,1676,Balance of Power
1576,1676,Balance of Power
1577,1676,Balance of Power
1578,1676,Balance of Power
1579,1676,Balance of Power
1580,1676,Balance of Power
1581,1676,Balance of Power
1582,1677,Balance of Power
1583,1677,Balance of Power
1584,1677,Balance of Power
1585,1677,Balance of Power
1586,1677,Balance of Power
1587,1677,Balance of Power
1588,1677,Balance of Power
1589,1677,Balance of Power
1590,1677,Balance of Power
1591,1677,Balance of Power
1592,1678,Balance of Power
1593,1678,Balance of Power
1594,1678,Balance of Power
1595,1678,Balance of Power
1596,1678,Balance of Power
1597,1678,Balance of Power
1598,1678,Balance of Power
1599,1678,Balance of Power
1600,1678,Balance of Power
1601,1678,Balance of Power
1602,1618,Balance of Power
1603,1618,Balance of Power
1604,1619,Balance of Power
1605,1619,Balance of Power
1606,1619,Balance of Power
1607,1619,Balance of Power
1608,1619,Balance of Power
1609,1619,Balance of Power
1610,1619,Balance of Power
1611,1619,Balance of Power
1612,1619,Balance of Power
1613,1619,Balance of Power
1614,1620,Balance of Power
1615,1620,Balance of Power
1616,1620,Balance of Power
1617,1620,Balance of Power
1618,1620,Balance of Power
1619,1620,Balance of Power
1620,1620,Balance of Power
1621,1620,Balance of Power
1622,1620,Balance of Power
1623,1620,Balance of Power
1624,1621,Balance of Power
1625,1621,Balance of Power
1626,1621,Balance of Power
1627,1622,Balance of Power
1628,1622,Balance of Power
