id,year,type
595,1864,Civil
596,1864,Civil
597,1864,Civil
598,1820,Civil
599,1821,Civil
600,1822,Civil
601,1823,Civil
602,1824,Civil
603,1533,Balance of Power
604,1533,Balance of Power
605,1533,Balance of Power
606,1534,Balance of Power
607,1534,Balance of Power
608,1534,Balance of Power
609,1535,Balance of Power
610,1535,Balance of Power
611,1535,Balance of Power
612,1536,Balance of Power
613,1536,Balance of Power
614,1536,Balance of Power
615,1862,Balance of Power
616,1862,Other
617,1862,Other
618,1807,Other
619,1807,Other
620,1808,Other
621,1808,Other
622,1809,Other
623,1809,Other
624,1810,Other
625,1810,Other
626,1811,Other
627,1811,Other
628,1812,Other
629,1812,Other
630,1813,Other
631,1813,Other
632,1814,Other
633,1814,Other
634,1803,Other
635,1803,Other
636,1803,Other
637,1803,Other
638,1804,Other
639,1804,Other
640,1804,Other
641,1804,Other
642,1805,Other
643,1805,Other
644,1805,Other
645,1805,Other
646,1806,Other
647,1806,Other
648,1806,Other
649,1806,Other
650,1807,Other
651,1807,Other
652,1808,Other
653,1809,Other
654,1810,Other
655,1811,Other
656,1812,Other
657,1813,Other
658,1814,Other
659,1815,Other
660,1810,Other
661,1811,Other
662,1812,Other
663,1812,Other
664,1813,Other
665,1813,Other
666,1813,Other
667,1814,Other
668,1814,Other
669,1814,Other
670,1815,Other
671,1815,Other
672,1815,Other
673,1815,Other
674,1815,Other
675,1815,Other
676,1815,Other
677,1815,Other
678,1815,Other
679,1815,Other
680,1815,Other
681,1815,Other
682,1815,Other
683,1807,Other
684,1807,Other
685,1808,Other
686,1809,Other
687,1810,Other
688,1811,Other
689,1812,Other
690,1812,Other
691,1812,Other
692,1813,Other
693,1813,Other
694,1813,Other
695,1814,Other
696,1814,Other
697,1814,Other
698,1812,Other
699,1812,Other
700,1812,Other
701,1803,Other
702,1803,Other
703,1803,Other
704,1803,Other
705,1803,Other
706,1803,Other
707,1803,Other
708,1803,Other
709,1804,Other
710,1804,Other
711,1804,Other
712,1804,Other
713,1804,Other
714,1804,Other
715,1804,Other
716,1804,Other
717,1805,Other
718,1805,Other
719,1805,Other
720,1805,Other
721,1805,Other
722,1805,Other
723,1805,Other
724,1805,Other
725,1806,Other
726,1806,Other
727,1806,Other
728,1806,Other
729,1806,Other
730,1806,Other
731,1806,Other
732,1806,Other
733,1807,Other
734,1807,Other
735,1808,Other
736,1809,Other
737,1810,Other
738,1811,Other
739,1812,Other
740,1812,Other
741,1812,Other
742,1813,Other
743,1813,Other
744,1813,Other
745,1814,Other
746,1814,Other
747,1814,Other
748,1808,Other
749,1809,Other
750,1810,Other
751,1811,Other
752,1812,Other
753,1812,Other
754,1812,Other
755,1813,Other
756,1813,Other
757,1813,Other
758,1814,Other
759,1814,Other
760,1814,Other
761,1809,Other
762,1809,Other
763,1806,Other
764,1806,Other
765,1806,Other
766,1806,Other
767,1807,Other
768,1807,Other
769,1813,Other
770,1813,Other
771,1813,Other
772,1813,Other
773,1813,Other
774,1813,Other
775,1813,Other
776,1813,Other
777,1813,Other
778,1814,Other
779,1814,Other
780,1814,Other
781,1814,Other
782,1814,Other
783,1814,Other
784,1814,Other
785,1814,Other
786,1814,Other
787,1814,Other
788,1814,Other
789,1814,Other
790,1803,Other
791,1803,Other
792,1803,Other
793,1803,Other
794,1803,Other
795,1803,Other
796,1803,Other
797,1803,Other
798,1804,Other
799,1804,Other
800,1804,Other
801,1804,Other
802,1804,Other
803,1804,Other
804,1804,Other
805,1804,Other
806,1804,Other
807,1804,Other
808,1804,Other
809,1804,Other
810,1804,Other
811,1804,Other
812,1804,Other
813,1804,Other
814,1805,Other
815,1805,Other
816,1805,Other
817,1805,Other
818,1805,Other
819,1805,Other
820,1805,Other
821,1805,Other
822,1805,Other
823,1805,Other
824,1805,Other
825,1805,Other
