id,name,year_birth,year_death,dinasty
22956,John Albert I of Solms-Braunfels,1563.0,1623.0,Solms-Braunfels
22957,Francis Ernest von Platen,,,Platen
22958,Sophia Charlotte von Kielmansegge,1673.0,1725.0,Kielmansegge
22959,GeorgeLouis,,,Louis
22960,CharlesAugustus,,,Augustus
22961,Caroline,,,
22962,Marchesa Paleotti of Bologna,,,Bologna
22963,son,,,
22964,Laura,,,
22965,Alexander II Desmier d'Olbreuse,,,d'Olbreuse
22966,Philip Christopher von K\x94nigsmarck,,,K\x94nigsmarck
22967,Frederica Sophia Wilhelmina Hohenzollern,1709.0,1758.0,Hohenzollern
22968,Henry (Frederick) of Bayreuth,1711.0,1763.0,Bayreuth
22969,Ermengarde Melusina von der Schulenberg,1667.0,1743.0,Schulenberg
22970,Gustavus Adolphus von der Schulenberg,,,Schulenberg
22971,Petronilla Melusina de Schulemberg,1693.0,1778.0,Schulemberg
22972,Margaret Gertrude de Schulemberg,1701.0,1726.0,Schulemberg
22973,Albrecht Wolfgang von Schaumberg-Lippe,,,Schaumberg-Lippe
22974,Philip Dormer Stanhope,1694.0,1773.0,Stanhope
22975,Eleanor Erdmuthe Louisa of Saxe-Eisenach,1662.0,1696.0,Saxe-Eisenach
22976,John George of Saxe-Eisenach,1634.0,1686.0,Saxe-Eisenach
22977,Anne  Vane,1705.0,1736.0,Vane
22978,Gilbert  Vane,,,Vane
22979,FitzFrederick  Vane,1732.0,1736.0,Vane
22980,Margaret  de Marsac,,,Marsac
22981,Charles  Marsack,1736.0,1820.0,Marsack
22982,Charles William of Anhalt-Zerbst,1652.0,1718.0,Anhalt-Zerbst
22983,Amelia Caroline Dorothea Brunswick,1772.0,1773.0,Brunswick
22984,Hammond  Clement,,,Clement
22985,Almeria  Carpenter,,,Carpenter
22986,LouisaMaria,1762.0,1835.0,Maria
22987,Godfrey Bosville MacDonald,,,MacDonald
22988,Elizabeth Laura Waldegrave,1760.0,1816.0,Waldegrave
22989,Charlotte Maria Waldegrave,1761.0,1808.0,Waldegrave
22990,George Henry FitzRoy,1760.0,1844.0,FitzRoy
22991,George  Waldegrave,1751.0,1789.0,Waldegrave
22992,Olivia  Wilmot,,1774.0,Wilmot
22993,D James Wilmot,,,Wilmot
22994,Olivia,1772.0,,
22995,John Thomas Serres,,,Serres
22996,Lavinia Janetta Horton,1797.0,1871.0,Horton
22997,Daughter  Serres,,,Serres
22998,Anthony Thomas Ryves,,,Ryves
22999,Nicholas  Lawes,,,Lawes
23000,son  Horton,,,Horton
23001,John Frederick Struensee,1737.0,1772.0,Struensee
23002,Son  van Nassau-Dietz,1735.0,1735.0,Nassau-Dietz
23003,Daughter  van Nassau-Dietz,1736.0,1736.0,Nassau-Dietz
23004,Daughter  van Nassau-Dietz,1739.0,1739.0,Nassau-Dietz
