id,name,year_birth,year_death,dinasty
10257,Alfonso II / Naples,1448,1495,Naples
2443,Isabella of Portugal,1428,1496,Portugal
2887,Isabella of Asturias,1470,1498,Asturias (Aragon/Spain)
775,Arthur Tudor,1486,1502,United Kingdom
774,Elizabeth of York / Plantagenet,1466,1503,United Kingdom
5549,Alexander of Poland,1461,1506,Poland
2885,Philip I the Handsome / Hapsburg,1478,1506,Castile
838,Louis XII / France,1462,1515,France
2888,Maria of Aragon,1482,1517,"Aragon, Siciliy, Naples, Castille"
2864,Christina / Saxony-Wettin,1461,1521,Saxony
10155,Manuel I the Fortunate of Portugal,1469,1521,Portugal
14855,Isabella Hapsburg,1501,1525,Castile
18970,Barbara / Poland,1478,1534,Poland
18470,Catherina / Saxe-Lauenburg,1513,1535,German Empire (Saxe-Lauenberg)
833,Catherine of Aragon,1485,1536,United Kingdom
872,Isabella of Portugal,1503,1539,Portugal
776,Margaret Tudor,1489,1541,United Kingdom
11656,Anthony II / Buono de Lorraine,1489,1544,
14853,Elizabeth Hapsburg,1526,1545,HRE
1816,Francis I of France/de Valois/,1494,1547,France
23664,Albert V von Meckleburg-Schwerin,1488,1547,Mecklenberg (Northern German state at the time)
10157,Joao / Portugal,1537,1554,Portugal
23643,Elizabeth Oldenburg,1485,1555,"Denmark, Norway, Sweden"
871,Charles V of Spain/Habsburg/,1500,1558,HRE
1248,Francis II / France de Valois,1544,1560,France
23663,Anna Hohenzollern,1507,1567,Prussia
2134,Elizabeth de France,1545,1568,France
11730,Joachim II Hector / Hohenzollern,1505,1571,Margraviate of Brandenburg
10513,Joana Hapsburg,1537,1573,Austria
2522,Charles IX / France de Valois,1550,1574,France
2135,Anne of Austria/Habsburg/,1549,1580,Spain
26045,Elizabeth of Hesse,1539,1582,Hesse (German)
18971,Anna of Denmark-Oldenburg,1532,1585,Denmark
5505,John III / Sweden Vasa,1537,1592,Sweden
11731,John George / Bradenburg Hohenzollern,1525,1598,Margraviate of Brandenburg
740,Henry IV of France de Bourbon ,1553,1610,"France, Navarre"
11746,Christian II / Saxony /Wettin,1583,1611,Saxony
1017,Margaret of Austria / Habsburg,1584,1611,Austria
1628,Anne Catherine / Hohenzollern,1575,1612,HRE
20257,Johann Adolf /von Holstein-Gottorp/,1575,1616,Sweden
726,Anne / Denmark / Oldenburg,1574,1619,Denmark
725,James I Stuart,1566,1625,United Kingdom
20373,Constance of Austria Hapsburg,1588,1631,Austria
735,Frederick V of Palatinate/Wittelsbach/,1596,1632,Bohemia
11733,George William /Hohenzollern/,1595,1640,Prussia
529,Louis XIII / France de Bourbon,1601,1643,France
896,Elizabeth / France de Bourbon,1602,1644,France
20378,Cecille Renate Hapsburg,1611,1644,Austria
2417,Maria Anna of Spain/Habsburg/,1606,1646,"Spain, Portugal"
23681,Christian Oldenburg,1603,1647,Denmark
730,Charles I Stuart,1600,1649,United Kingdom
2418,Ferdinand III of Hapsburg,1608,1657,HRE
3880,Anne-Eleanor of /Hesse-Darmstadt/,1601,1659,Hesse-Darmstadt
744,Mary Henrietta Stuart,1631,1660,United Kingdom
768,Edward of Bavaria/Wittelsbach,1625,1663,
2913,Marie Christine de Bourbon,1606,1663,France
2131,Philip IV of Spain/Habsburg/,1605,1665,Spain
749,Henrietta Anne Stuart,1644,1670,United Kingdom
38594,Sophie Eleanor Wettin,1609,1671,Saxony
10248,Charles Emmanuel II / Savoy,1634,1675,Savoy (likely Peidmont/Italy related)
11711,Louis VI of/Hesse-Darmstadt,1630,1678,Hesse-Darmstadt
25924,Marie Hedwig / Hesse-Darmstadt,1647,1680,Hesse-Darmstadt
11748,John George II / Saxony / Wettin,1613,1680,Saxony
1173,Elizabeth Henrietta / Hesse-Cassel,1661,1683,Hesse-Kassel
2415,Charles II / Palatinate Wittelsbach,1651,1685,Electoral Palatinate
1631,Sophia Amerlia / Brunswick,1628,1685,Brunswick-Luneberg
743,Charles II Stuart,1630,1685,United Kingdom
951,Marie Louise /d'Orleans/,1662,1689,France
2882,Mary Anne Christine of Bavaria,1660,1690,Bavaria
2858,Ulrica Eleanor / Denmark - Oldenburg,1656,1693,Denmark
709,Mary II Stuart,1662,1694,United Kingdom
20259,Christian Albrecht / Holstein-Gottorp,1641,1695,Holstein-Gottorp
2416,Mariana of Austria/Habsburg/,1635,1696,Austria
2859,Charles XI / Sweden von Simmern,1655,1697,Sweden
1625,Christian V / Denmark Oldenburg,1646,1699,"Denmark, Norway"
18512,Maria Sophia / Palatinate Wittelsburg,1666,1699,Electoral Palatinate
2130,Charles II of Spain Habsburg,1661,1700,Spain
20261,Frederick IV /von Holstein-Gottorp/,1671,1702,Holstein-Gottorp
1174,Louise Dorothea / Hohenzollern,1680,1705,Prussia
2420,Leopold I Habsburg,1640,1705,Austria
771,Sophia Charlotte,1668,1705,Brunswick-Luneberg
692,George / Denmark / Oldenburg,1653,1708,Denmark
15046,Louis III of Bourbon/de CondÇ/,1668,1710,France
2423,Louis  /de France/,1661,1711,France
2507,Charles du Berry,1686,1714,France
2883,Mary Louise Gabrielle de Savole,1688,1714,"Italy, Sicily"
18480,Charlotte / Brunswick-Wolfenbettel,1694,1715,Brunswick-Luneberg
2422,Eleanor Magdalene of Neuburg Wittelsburg,1655,1720,Electoral Palatinate
15060,Marie Anna de Conti ,1689,1720,France
2517,Philippe Duc / Chartes d'Orleans,1674,1723,France
2431,Charles VI /Habsburg/,1685,1740,HRE
14273,Elizabeth  /de Lorraine,1711,1741,Austria
10378,Charles VII Albert of Bavaria,1697,1745,HRE
2424,Philip V of Spain/de Bourbon/,1683,1746,Spain
19483,Elizabeth / Brunswick-Wolfenbettel,1691,1750,Brunswick-Wolfenbuttel (Brunswick-Luneberg)
331,Louisa / Hanover,1724,1751,United Kingdom
343,Sophia Dorothea / Hanover,1687,1757,"United Kingdom, Hanover"
568,Augustus William / Hohenzollern,1722,1758,Prussia
23883,Maria Magdalena Joseph / Bragana,1711,1758,Portugal
324,Anne / Hanover,1709,1759,"United Kingdom, Hanover"
23762,Elizabeth de France ,1727,1759,France
2881,Mary Amalia Saxony/Wettin/,1724,1760,"Saxony, Poland"
11752,Federick Augustus II of Saxony (III of Poland) Wettin,1696,1763,Saxony
23763,Isabelle of Parma de Bourbon,1741,1763,Parma
11753,Frederick Christian / Saxony Wetting,1722,1763,Saxony
344,Frederick V /Denmark/Oldenburg,1723,1766,Denmark
340,Caroline Matilda / Hanover,1751,1775,United Kingdom
19494,Natalie Wilhemina / Hesse-Darmstadt,1755,1776,Hesse-Darmstadt
569,Louise Amelia of/Brunswick/,1722,1780,Brunswick-Luneberg (part of HRE)
18511,Maria Anne / Spain de Bourbon,1718,1781,Spain
1168,Louis Ulrika / Prussia / Hohenzollern,1720,1782,Prussia
18497,Mary / Spain de Bourbon,1729,1785,
30759,Frederick / Hesse-Cassel,1722,1787,Hesse-Kassel
1069,Augusta Caroline / Brunswick,1764,1788,Brunswick-Luneberg
23893,Gabriel Antonio Francis de Bragana,1752,1788,Spain
30767,Elizabeth Wilhelmine von Wurttemberg,1767,1790,Wurttemberg
18502,Maria Luisa / Spain de Bourbon,1745,1792,Spain
7235,Leopold II /Habsburg-Lotharingen/,1747,1792,HRE
1424,Louis XVI of France,1754,1793,France
553,Frederick William II / Hohenzollern,1744,1797,Prussia
19497,Alexandra Pavlovna /Romanov,1783,1801,Russia
31900,Louise de Bourbon,1773,1802,Two Sicilies
10209,Louis I of Parma/de Bourbon/,1773,1803,Etruria (associated with Parma)
18974,Caroline of Parma/de Bourbon,1770,1804,Parma
556,Frederica Louise / Hesse-Darmstadt,1751,1805,Hesse-Darmstadt
3770,Frederick Ferdinand /Hapsburg-Lotharingen/,1754,1806,
2875,Antonia of Sicily de Bourbon,1784,1806,Naples
18503,Maria Theresa of/Naples/,1772,1807,Kingdom of Two Sicilies
3874,Mary-Elizabeth / Padua Zhringen,1782,1808,Grand Duchy of Baden
764,Christian VII of Denmark/Oldenburg/,1749,1808,Denmark
410,Louise of /Mecklenburg-Strelitz/,1776,1810,Mecklenburg-Strelitz
1638,Sophia Magdalena /Oldenburg/,1746,1813,Denmark
31030,Clementina / AustriaHabsburg Lotharingen,1777,1814,
5335,JosÇphine de /Tascher/,1763,1814,France
247,Frederick I /Wurttenberg,1754,1816,Kingdom of Württemberg
576,Friedrich Wilhelm / Nassau-Weilburg,1768,1816,Luxembourg
31985,Marie Ludovika Hapsburg,1787,1816,Austria
144,Charlotte Augusta / Wales / Hannover,1796,1817,"United Kingdom, Hanover"
5910,Hanover Child (first name unknown),1818,1818,
2876,Isabella / Portugal Bragana,1797,1818,Portugal
2878,Charles IV / Spain de Bourbon,1748,1819,Spain
1075,Catherine / Russia Pavlovna Romanov,1788,1819,Russia
2510,Ferdinand Charles / Berry de Bourbon,1778,1820,France
1639,Wilhelmina Caroline / Oldenburg,1747,1820,Denmark
133,Edward Augustus/Hannover,1767,1820,United Kingdom
4885,Napoleon I Bonaparte,1769,1821,France
1736,William IX Hesse-Cassel,1743,1821,Hesse-Kassel
11715,Caroline / Hesse-Darmstadt,1746,1821,Hesse-Darmstadt
626,Catherine / Baden/Zhringen,1776,1823,
10204,Ferdinand III / Hapsburg-Lotharingen,1769,1824,Tuscany
23764,Marie Louise / Spain de Bourbon,1782,1824,Spain
3764,Victor Emmanuel / Sardiniade Savoy,1759,1824,Sardinia (Italy)
637,Maximillian I Joseph / Wittelsbach,1756,1825,Bavaria
1296,Alexander / Pavlovich / Romanov,1777,1825,Russia
18509,Leopoldine  /Habsburg-Lotharingen,1797,1826,Austria
3769,Marie Charlotte / Sardinia Savoy,1767,1827,Sardinia (Italy)
18973,Theresa / Hapsburg-Lotharingen,1767,1827,Austria
205,Ferdinand / Saxe-Coburg-Gotha,1785,1827,Saxe-Coburg Gotha (German Confed)
211,Frederick VI / Hessen-Homburg,1769,1829,Hesse-Homburg (Hesse-Darmstadt)
2877,Mary Josepha / Wettin,1803,1829,Saxony
10267,Francis I / Sicily de Bourbon,1777,1830,Kingdom of Two Sicilies
18510,Charlotte / Spain de Bourbon,1775,1830,Spain
1298,Konstantin Pavlovich /Romanov/,1779,1831,Russia
18975,Caroline / Hapsburg-Lotharingen,1801,1832,
1246,Ferdinand VII of Spain/de Bourbon/,1784,1833,Spain
10175,Pedro IV of Portugal/de Braganáa/,1798,1834,Portugal
1071,Catherine von Wurttemberg,1783,1835,Wurttemberg
7236,Francis II Hapsburg-Lotharingen,1768,1835,HRE/German Confederation
32118,Christine of Sardinia,1812,1836,Sardinia
1641,Charles / Hesse-Cassel,1744,1836,Hesse-Kassel
559,Wilhelmina / Hohenzollern,1774,1837,Prussia
203,William IV Henry / Hanover,1765,1837,United Kingdom
11756,Maximillian Saxony Wetting,1759,1838,Saxony
4980,Marie Frederica / Hesse-Cassel,1768,1839,Hesse-Kassel
162,Frederick William III / Hohenzollern,1770,1840,Prussia
516,Augusta Hohenzollern,1808,1841,Prussia (Hohenzollern)
5163,Cecilie / Holstein-Gottorp,1807,1844,Sweden
139,Ernest I/Saxe-Coburg-Saaifeld,1784,1844,Saxe-Coburg Gotha (German Confed)
684,Joseph / Austria Hapsburg-Lotharingen,1776,1847,Austria
1084,Charlotte / Saxe-Hildburghausen,1787,1847,Saxe-Altenberg (German Empire)
356,Amalie  /von WÅrttemberg/,1799,1848,Kingdom of Württemberg
31982,Maria Isabella / Spain de Bourbon,1789,1848,Spain
1645,Christian VIII / Denmark Oldenburg,1786,1848,"Denmark, Norway"
652,William II of Netherlands von Nassau,1792,1849,Netherlands
686,Ferdinand / Austria-EsteHapsburg,1821,1849,Austria
132,Adolphus Frederick of Cambridge/Hanover/,1774,1850,"United Kingdom, Hanover"
245,Louise Marie d'Orleans,1812,1850,France
31910,Leopold de Bourbon,1790,1851,Two Sicilies
1139,Auguste Wittelsbach,1788,1851,Bavaria
5168,Leopold I / Baden Zhringen,1790,1852,Grand Duchy of Baden
19388,Maximillian / Leuchtenberg,1817,1852,France
1618,Maria Sophia Frederic / Hesse-Cassel,1767,1852,Hesse-Kassel
1073,Paul Charles Frederick von Wurttemberg,1785,1852,Wurttemberg
10177,Maria II / Portugal Bragana,1819,1853,Portugal
1142,Therese of /Saxe-Hildburghausen/,1792,1854,Saxe-Altenberg (German Empire)
3779,Charles III / Parma de Bourbon,1823,1854,Duchy of Parma
595,Maria Dorothea /von WÅrttemberg/,1797,1855,Wurttemberg
23784,Charles de Molinade Bourbon,1788,1855,Spain
18493,Teresa  /Habsburg-Lotharingen/,1801,1855,Austria
42,Nicholas I Pavlovich/Romanov,1796,1855,Russia
18962,Victoria / Saxe-Coburg Gotha,1822,1857,Saxe-Coburg and Gotha (Germany)
23944,Margaret / Saxony Wettin,1840,1858,Saxony
23792,Anna / Saxony Wettin,1836,1859,Saxony
10268,Ferdinand II / Sicily de Bourbon,1810,1859,Kingdom of Two Sicilies
4908,Marie Pavlovna Romanov,1786,1859,Russia
43,Alexandra (Charlotte)/Hohenzollern,1798,1860,Prussia
138,Victoria Mary Louisavon/Saxe-Coburg,1786,1861,Saxe-Coburg-Saalfed (German Confed)
2,Albert Augustus Saxe-Coburg-Gotha,1819,1861,Saxe-Coburg and Gotha (German Confederation)
411,Frederick William IV / Hohenzollern,1795,1861,Prussia
495,Mathilde / Wittelsbach,1813,1862,
1646,Frederick Ferdinand Oldenburg,1792,1863,Denmark
1649,Federick VII of Denmark Oldenburg,1808,1863,Denmark
1143,Maximilian II /Wittelsbach/,1811,1864,Bavaria
1070,William I / Wurttemberg,1781,1864,Wurttemberg
5161,Sophie Wilhelmina / Holstein-Gottorp,1801,1865,Sweden
298,William X / Hesse-Cassel,1787,1867,Hesse-Kassel
1662,Maximillian / Habsburg-Lotharingen,1832,1867,Austria
31914,Caroline de Bourbon,1822,1869,Two Sicilies
1029,Louise Augusta / Hohenzollern,1808,1870,Prussia
1086,Frederick Charles Augustus / Wurttemberg,1808,1870,Wurttemberg
1028,Louise von Nassau,1828,1871,Netherlands
2656,Amelia Maria / Gloria Saxe-Weimar,1830,1872,Saxe-Weimar-Eisenhach
1027,Charles XV / Sweden-Bernadotte,1826,1872,"Sweden, Norway"
20405,Auguste Bernadotte,1831,1873,Sweden
516,Marie / Saxe-Weimar-Eisenach,1808,1877,Saxe-Weimar-Eisenhach
1690,Henry / Netherlands / Nassau,1820,1879,
45,Marie of Hesse-Darmstadt,1824,1880,Hesse-Darmstadt
44,Alexander II Nicholoevich/Romanov,1818,1881,Russia
18955,August / Saxe-Coburg-Gotha,1818,1881,Saxe-Coburg and Gotha (Germany)
1213,Frederick Francis Ilvon / Mecklenburg,1823,1883,
414,Charles / Hohenzollern,1801,1883,Prussia
10,Leopold George Duncan Albert/Wettin,1853,1884,United Kingdom
683,Alfonso XII of Spain,1857,1885,Spain
1216,Hlne Henrietta von Nassau,1831,1888,Luxembourg (House of Nassau-Weilburg)
20,Frederick III/Germany/Hohenzollern,1831,1888,German Empire
10179,Lues I Portugal / Saxe-Coburg Gotha,1838,1889,Portugal
1439,Rudolf / Habsburg-Lotharingen,1858,1889,Austria
19096,Anton d'Orleans,1824,1890,
655,William III / Netherlands von Nassau,1817,1890,Netherlands
427,Marie Louise Augusta / Saxe-Weimar,1811,1890,Saxe-Weimar-Eisenhach
163,Alexandra / Schleswig-Holstein-Soderburg,1870,1891,Greece
2665,Nicholas Nicholajievic Romanov,1831,1891,Russia
19100,Louis Philippe d'Orleans,1838,1894,France
40,Alexander III Alexandrovich/Romanov,1845,1894,Russia
5032,Marie Louise Charlotte / Hesse-Cassel,1814,1895,Hesse-Kassel
19090,Louis d'Orleans,1814,1896,France
25,Henry Maurice Von Battenburg,1858,1896,Hesse-Darmstadt
646,Karl Ludwig / Hapsburg-Lotharingen,1833,1896,Austria
1200,Sophie of Bavaria,1847,1897,Bavaria
4869,Wilhelm / Baden-Zhringen,1829,1897,Grand Duchy of Baden
1196,Elizabeth of Bavaria,1837,1898,Bavaria
23952,Sophie of Lichtenstein,1837,1899,Liechtenstein (lower Austria)
19027,Marie Louise / Parma de Bourbon,1870,1899,Parma
7269,Humbert I / Italy de Savoy,1844,1900,Italy
6,Alfred Ernest Albert/Wettin,1844,1900,United KIngdom
19093,Francis d'Orleans,1818,1900,France
3,Victoria Adelaide Mary/Wettin,1840,1901,United Kingdom
2449,Maria Henrietta Hapsburg-Lotharingen,1836,1902,Austria
685,Elisabeth / Hapsburg-Lotharingen,1831,1903,
1114,Philip / Flanders Saxe Coburg,1837,1905,Belgium
1099,Leopold / Hohenzollern-Sigmaringen,1835,1905,Prussia (Hohenzollern)
1182,Amulf Wittelsbach,1852,1907,Bavaria
10180,Carlos I / Portugal / Saxe-Coburg Gotha,1863,1908,Portugal
1197,Karl Theodor Gackl,1839,1909,Bavaria
4,Edward VII Wettin,1841,1910,United Kingdom
19168,George Romanowsky,1852,1912,
582,William IV / Luxembourg von Nassau,1852,1912,Luxembourg
604,Frederick VIII /Schleswig-Holstein/,1843,1912,Denmark
690,Maria Gabriele / Bavaria,1878,1912,Bavaria
1110,Marie Hohenzollern-Signaringen,1845,1912,Prussia (Hohenzollern)
227,William George I of Hellenes/Schleswig,1845,1913,Greece
2671,Constantine Romanov,1858,1915,Russia
120,Louise Margaret / Prussia/Hohenzollern,1860,1917,Prussia
4643,Eduard Georg Wilhelm von Anhalt,1861,1918,
1,Victoria  Hanover,1819.0,1901.0,Hanover
5,Alice Maud Mary Wettin,1843.0,1878.0,Wettin
7,Helena Augusta Victoria Wettin,1846.0,1923.0,Wettin
8,Louise Caroline Alberta Wettin,1848.0,1939.0,Wettin
9,Arthur William Patrick Wettin,1850.0,1942.0,Wettin
11,Beatrice Mary Victoria Feodora Wettin,1857.0,1944.0,Wettin
12,"Alexandra of Denmark ""Alix"" Schleswig",1844.0,1925.0,Schleswig
13,Albert Victor Christian Wettin,1864.0,1892.0,Wettin
14,George V Windsor,1865.0,1936.0,Windsor
15,Louise Victoria Alexandra Windsor,1867.0,1931.0,Windsor
16,Victoria Alexandra Olga Mary Windsor,1868.0,1935.0,Windsor
17,Maud Charlotte Mary Victoria Windsor,1869.0,1938.0,Windsor
18,John Alexander Wettin,1871.0,1871.0,Wettin
19,George II Victor of Waldeck-Pyrmont,1831.0,1893.0,Waldeck-Pyrmont
21,William II of Germany Hohenzollern,1859.0,1941.0,Hohenzollern
22,Louis IV von Hessen-Darmstadt,1837.0,1892.0,Hessen-Darmstadt
23,Helena Frederica of Waldeck-Pyrmont,1861.0,1922.0,Waldeck-Pyrmont
24,Alice Mary Victoria of Albany Wettin,1883.0,1981.0,Wettin
26,Alexander of Carisbrooke Mountbatten,1886.0,1960.0,Mountbatten
27,"Victoria Eugenie ""Ena"" von Battenburg",1887.0,1969.0,Battenburg
28,Leopold Arthur Louis Mountbatten,1889.0,1922.0,Mountbatten
29,Maurice Victor Donald von Battenberg,1891.0,1914.0,Battenberg
30,Mary (May) von Teck,1867.0,1953.0,Teck
31,Edward VIII Windsor,1894.0,1972.0,Windsor
32,George VI (Albert) Windsor,1895.0,1952.0,Windsor
33,Victoria Alexandra Alice Mary Windsor,1897.0,1965.0,Windsor
34,Henry William Frederick Windsor,1900.0,1974.0,Windsor
35,George Edward Alexander Windsor,1902.0,1942.0,Windsor
36,John Charles Francis Windsor,1905.0,1919.0,Windsor
37,Nicholas II Alexandrovich Romanov,1868.0,1918.0,Romanov
38,Victoria Alberta von Hessen,1863.0,1950.0,Hessen
39,"Alexandra Fedorovna ""Alix"" von Hessen",1872.0,1918.0,Hessen
41,"Dagmar ""Marie"" Schleswig-Holstein",1847.0,1928.0,Schleswig-Holstein
46,Olga Nicholovna Romanov,1895.0,1918.0,Romanov
47,Tatiana Nicholovna Romanov,1897.0,1918.0,Romanov
48,Maria Nicholovna Romanov,1899.0,1918.0,Romanov
49,Anastasia Nicholovna Romanov,1901.0,1918.0,Romanov
50,Alexis Nicolaievich Romanov,1904.0,1918.0,Romanov
51,Elizabeth Angela Marguerite Bowes-Lyon,1900.0,2002.0,Bowes-Lyon
52,Elizabeth II Alexandra Mary Windsor,1926.0,,Windsor
53,Margaret Rose Windsor,1930.0,2002.0,Windsor
54,Anthony Charles Robert Armstrong-Jones,1930.0,,Armstrong-Jones
55,David Albert Charles Armstrong-Jones,1961.0,,Armstrong-Jones
56,Sarah Frances Elizabeth Armstrong-Jones,1964.0,,Armstrong-Jones
57,Philip  Mountbatten,1921.0,,Mountbatten
58,Charles Philip Arthur George Windsor,1948.0,,Windsor
59,Anne Elizabeth Alice Louise Windsor,1950.0,,Windsor
60,Andrew Albert Christian Edward Windsor,1960.0,,Windsor
61,Edward Anthony Richard Windsor,1964.0,,Windsor
62,Mark Anthony Peter Phillips,1948.0,,Phillips
63,Peter Mark Andrew Phillips,1977.0,,Phillips
64,Zara Anne Elizabeth Phillips,1981.0,,Phillips
65,Diana Frances Spencer,1961.0,1997.0,Spencer
66,Marina  Schleswig-Holstein-Sonderburg,1906.0,1968.0,Schleswig-Holstein-Sonderburg
67,Edward George Nicholas Windsor,1935.0,,Windsor
68,Henry George Charles Lascelles,1882.0,1947.0,Lascelles
69,Alice Christabel Montagu-Douglas-Scott,1901.0,2004.0,Montagu-Douglas-Scott
70,Bessie Wallis Warfield,1896.0,1986.0,Warfield
71,Charles Haakon VII of Norway Gl\x81cksburg,1872.0,1957.0,Gl\x81cksburg
72,Henry of Prussia Hohenzollern,1862.0,1929.0,Hohenzollern
73,Sigismund  Hohenzollern,1864.0,1866.0,Hohenzollern
74,Victoria  Hohenzollern,1866.0,1929.0,Hohenzollern
75,Waldemar  Hohenzollern,1868.0,1879.0,Hohenzollern
76,Sophie Dorothea Ulrica Hohenzollern,1870.0,1932.0,Hohenzollern
77,Charlotte of Saxe-Meiningen Hohenzollern,1860.0,1919.0,Hohenzollern
78,Margaret Beatrice Feodora Hohenzollern,1872.0,1954.0,Hohenzollern
79,Irene Marie Louise Anna of Hesse,1866.0,1953.0,Hesse
80,Waldemar  Hohenzollern,1889.0,1945.0,Hohenzollern
81,Henry Victor Louis Hohenzollern,1900.0,1904.0,Hohenzollern
82,Sigismund  Hohenzollern,1896.0,1978.0,Hohenzollern
83,Ernest Louis von Hessen-Darmstadt,1868.0,1937.0,Hessen-Darmstadt
84,"Elizabeth ""Ella"" von Hessen",1864.0,1918.0,Hessen
85,"Marie Victoria Feodore ""May"" von Hessen",1874.0,1878.0,Hessen
86,Frederick  von Hessen,1870.0,1873.0,Hessen
87,William Henry Andrew Windsor,1941.0,1972.0,Windsor
88,Richard Alexander Walter Windsor,1944.0,,Windsor
89,Birgitte Eva of Denmark von Deurs,1946.0,,Deurs
90,Alexander Patrick Gregers Windsor,1974.0,,Windsor
91,Earl Winfield Spencer,1888.0,1950.0,Spencer
92,Ernest Aldrich Simpson,1897.0,1958.0,Simpson
93,Frances Burke Ruth Roche,1936.0,2004.0,Roche
94,Marie Alexandrovna Romanov,1853.0,1920.0,Romanov
95,Alfred Alexander William Ernest Wettin,1874.0,1899.0,Wettin
96,Marie of Saxe-Coburg-Gotha Wettin,1875.0,1938.0,Wettin
97,Victoria Melita of Edinburgh Wettin,1876.0,1936.0,Wettin
98,Alexandra Louise Olga Victoria Wettin,1878.0,1942.0,Wettin
99,Beatrice Leopoldine Victoria Wettin,1884.0,1966.0,Wettin
100,Louis  von Battenberg,1854.0,1921.0,Battenberg
101,Alice of Battenberg,1885.0,1969.0,Battenberg
102,George  Mountbatten,1892.0,1938.0,Mountbatten
103,Louis of Burma Mountbatten,1900.0,1979.0,Mountbatten
104,Andrew  Schleswig-Holstein-Sonderburg,1882.0,1944.0,Schleswig-Holstein-Sonderburg
105,Alexander William George Duff,1849.0,1912.0,Duff
106,Alexandra Helen Elizabeth Olga Windsor,1936.0,,Windsor
107,Michael George Charles Franklin Windsor,1942.0,,Windsor
108,Angus James Bruce Ogilvy,1928.0,2004.0,Ogilvy
109,James Robert Bruce Ogilvy,1964.0,,Ogilvy
110,Marina Victoria Alexandra Ogilvy,1966.0,,Ogilvy
111,Katherine Lucy Mary Worsley,1933.0,,Worsley
112,George Philip of St. Andrews Windsor,1962.0,,Windsor
113,Helen Marina Lucy Windsor,1964.0,,Windsor
114,Nicholas Charles Edward Windsor,1970.0,,Windsor
115,William Arthur Philip Louis Windsor,1982.0,,Windsor
116,Henry Charles Albert David Windsor,1984.0,,Windsor
117,F Christian von Schleswig-Holstein,1831.0,1917.0,Schleswig-Holstein
118,Marie Louise von Schleswig-Holstein,1872.0,1956.0,Schleswig-Holstein
119,Aribert Joseph Alexander von Anhalt,1864.0,1933.0,Anhalt
121,Margaret Victoria of Sweden Wettin,1882.0,1920.0,Wettin
122,Arthur Frederick of Connaught Wettin,1883.0,1938.0,Wettin
123,Victoria Patricia Helen Wettin,1886.0,1974.0,Wettin
124,Gustav VI Adolf of Sweden Bernadotte,1882.0,1973.0,Bernadotte
125,Alexandra Victoria Alberta Edwina Duff,1891.0,1959.0,Duff
126,Alexander Robert Maule Ramsay,1881.0,1972.0,Ramsay
127,Isabella  de France,1292.0,1358.0,France
129,Leopold Charles Edward Wettin,1884.0,1954.0,Wettin
130,George III William Frederick Hanover,1738.0,1820.0,Hanover
131,Charlotte-Sophia  von Mecklenburg,1744.0,1818.0,Mecklenburg
134,Augusta Wilhelmina Louisa von Hessen,1797.0,1889.0,Hessen
135,Augusta Caroline Charlotte Hanover,1822.0,1916.0,Hanover
136,"Mary Adelaide ""Fat Mary"" Hanover",1833.0,1897.0,Hanover
137,Francis Paul Charles Louis von Teck,1837.0,1900.0,Teck
140,Louise of Saxe-Gotha-Altenburg,1800.0,1831.0,Saxe-Gotha-Altenburg
141,George IV Augusta Frederick Hanover,1762.0,1830.0,Hanover
142,Maria Anne Smythe,1756.0,1837.0,Smythe
143,Caroline Amelia Brunswick-Wolfenb\x81ttel,1768.0,1821.0,Brunswick-Wolfenb\x81ttel
145,Claude George Bowes-Lyon,1855.0,1944.0,Bowes-Lyon
146,Cecilia Nina Cavendish-Bentinck,1862.0,1938.0,Cavendish-Bentinck
147,Margarita  Schleswig-Holstein-Sonderburg,1905.0,1981.0,Schleswig-Holstein-Sonderburg
148,Th\x82odora  Schleswig-Holstein-Sonderburg,1906.0,1969.0,Schleswig-Holstein-Sonderburg
149,Vladimir Alexandrovitch Romanov,1847.0,1909.0,Romanov
150,Alexis Alexandrovich Romanov,1850.0,1908.0,Romanov
151,Serge Alexandrovich Romanov,1857.0,1905.0,Romanov
152,Paul Alexandrovich Romanov,1860.0,1919.0,Romanov
153,George Alexandrovich Romanov,1871.0,1899.0,Romanov
154,Xenia Alexandrovna Romanov,1875.0,1960.0,Romanov
155,"Michael ""Mischa"" Alexandrovich Romanov",1878.0,1918.0,Romanov
156,Olga Alexandrovna Romanov,1882.0,1960.0,Romanov
157,Marie Pavlovna von Mecklenburg,1854.0,1920.0,Mecklenburg
158,Kirill Vladimirovitch Romanov,1876.0,1938.0,Romanov
159,Boris Vladimirovich Romanov,1877.0,1943.0,Romanov
160,Andrei (Andrew) Vladimirovich Romanov,1879.0,1956.0,Romanov
161,Mathilde (Maria) Krzesinska,1872.0,1971.0,Krzesinska
164,Dmitri Pavlovich Romanov,1891.0,1942.0,Romanov
165,Nicholas Constantinovich Romanov,1850.0,1918.0,Romanov
166,Irina Alexandrovna Romanov,1895.0,1970.0,Romanov
167,Felix Felixovitch Yussoupov,1887.0,1967.0,Yussoupov
168,Sarah Margaret Ferguson,1959.0,,Ferguson
169,Ronald Ivor Ferguson,1931.0,2003.0,Ferguson
170,Susan Mary Wright,1937.0,,Wright
171,Teackle Wallis Warfield,1869.0,1896.0,Warfield
172,Alice M Montague,1869.0,1929.0,Montague
173,Violet Hyacinth Bowes-Lyon,1882.0,1893.0,Bowes-Lyon
