id,name,year_birth,year_death,family,title
32,George VI (Albert)Windsor,1895.0,1952.0,(Albert)Windsor,King of Britain
33,Victoria Alexandra Alice MaryWindsor,1897.0,1965.0,MaryWindsor,Princess Royal
34,Henry William FrederickWindsor,1900.0,1974.0,FrederickWindsor,Duke of Gloucester 1st
35,George Edward AlexanderWindsor,1902.0,1942.0,AlexanderWindsor,Duke of Kent 1st
36,John Charles FrancisWindsor,1905.0,1919.0,FrancisWindsor,Prince
37,Nicholas II AlexandrovichRomanov,1868.0,1918.0,AlexandrovichRomanov,Tsar of Russia
38,Victoria Alberta von Hessen,1863.0,1950.0,Hessen,Princess of Hesse
39,"Alexandra Fedorovna ""Alix""von Hessen",1872.0,1918.0,Hessen,Tsarina
40,Alexander III AlexandrovichRomanov,1845.0,1894.0,AlexandrovichRomanov,Tsar of Russia
41,"Dagmar ""Marie"" Schleswig-Holstein",1847.0,1928.0,Schleswig-Holstein,Tsarina
42,Nicholas I PavlovichRomanov,1796.0,1855.0,PavlovichRomanov,Tsar of Russia
